"","GENERAL.APPEARANCE","MANNER.OF.SPEAKING","PHYSICAL.CONDITION","MENTAL.ALERTNESS","SELF.CONFIDENCE","ABILITY.TO.PRESENT.IDEAS","COMMUNICATION.SKILLS","CLASS_factor","CLASS_encoded.CLASS_factorEmployable","CLASS_encoded.CLASS_factorLessEmployable"
"33",5,5,4,5,5,4,4,"LessEmployable",0,1
"34",4,4,4,5,5,4,3,"LessEmployable",0,1
"35",5,4,5,5,5,5,5,"Employable",1,0
"36",5,3,3,4,5,3,3,"Employable",1,0
"37",5,5,5,5,4,5,4,"Employable",1,0
"38",5,5,4,5,4,5,5,"Employable",1,0
"39",4,4,3,3,3,4,4,"LessEmployable",0,1
"40",5,5,5,5,5,4,4,"Employable",1,0
"41",5,5,5,5,5,4,4,"Employable",1,0
"42",5,4,5,5,5,4,4,"Employable",1,0
"43",5,4,5,5,5,4,4,"Employable",1,0
"44",4,3,4,3,4,3,3,"LessEmployable",0,1
"45",5,4,5,5,4,4,4,"LessEmployable",0,1
"46",5,3,4,4,3,4,3,"LessEmployable",0,1
"47",5,3,3,3,4,3,3,"LessEmployable",0,1
"48",5,4,5,5,5,4,4,"Employable",1,0
"49",5,5,5,5,5,4,4,"Employable",1,0
"50",5,4,5,5,5,4,4,"Employable",1,0
"51",5,5,5,5,5,5,4,"Employable",1,0
"52",5,4,5,5,5,4,4,"Employable",1,0
"53",5,5,5,5,5,5,4,"Employable",1,0
"54",5,4,5,5,4,4,4,"Employable",1,0
"55",5,3,4,4,4,4,3,"LessEmployable",0,1
"56",4,4,4,4,3,4,4,"LessEmployable",0,1
"57",5,4,5,5,5,4,4,"Employable",1,0
"58",4,5,4,4,4,5,4,"Employable",1,0
"59",4,3,3,3,3,3,3,"Employable",1,0
"60",4,4,4,4,5,4,4,"LessEmployable",0,1
"61",3,3,3,4,3,3,3,"Employable",1,0
"62",4,4,4,3,3,3,3,"Employable",1,0
"63",4,4,4,3,4,3,3,"LessEmployable",0,1
"64",4,4,4,4,4,4,4,"Employable",1,0
"65",3,3,3,4,3,3,3,"Employable",1,0
"66",5,5,3,5,3,5,5,"Employable",1,0
"67",4,4,4,4,4,4,4,"Employable",1,0
"68",4,5,5,5,5,5,5,"Employable",1,0
"69",4,4,4,4,4,4,4,"Employable",1,0
"70",4,3,3,3,3,3,3,"Employable",1,0
"71",3,4,3,4,3,4,3,"Employable",1,0
"72",4,4,4,4,4,4,4,"LessEmployable",0,1
"73",4,3,3,3,4,3,4,"LessEmployable",0,1
"74",4,4,4,4,3,4,3,"Employable",1,0
"75",3,4,4,4,3,4,3,"Employable",1,0
"76",5,4,4,4,4,4,4,"Employable",1,0
"77",4,4,4,3,3,4,4,"Employable",1,0
"78",3,4,4,3,4,4,3,"LessEmployable",0,1
"79",4,3,2,3,2,2,3,"Employable",1,0
"80",4,3,4,3,4,3,3,"Employable",1,0
"81",4,4,3,4,3,4,3,"LessEmployable",0,1
"82",4,4,4,4,3,3,3,"Employable",1,0
"83",5,3,3,4,3,3,3,"LessEmployable",0,1
"84",4,3,3,3,3,3,2,"Employable",1,0
"85",3,4,4,4,4,4,4,"Employable",1,0
"86",4,5,4,5,4,4,4,"Employable",1,0
"87",4,4,4,3,4,4,3,"LessEmployable",0,1
"88",4,4,4,4,3,4,4,"Employable",1,0
"89",5,5,5,5,5,5,4,"Employable",1,0
"90",3,3,3,3,3,2,2,"Employable",1,0
"91",4,4,4,4,4,4,3,"LessEmployable",0,1
"92",4,4,4,4,4,4,4,"LessEmployable",0,1
"93",4,3,3,3,3,3,2,"Employable",1,0
"94",5,4,4,4,4,4,4,"Employable",1,0
"95",3,3,3,3,3,3,3,"LessEmployable",0,1
"96",4,3,4,3,3,3,3,"Employable",1,0
"97",4,3,4,3,3,3,2,"Employable",1,0
"98",2,2,3,3,3,3,3,"LessEmployable",0,1
"99",4,4,3,4,3,4,3,"LessEmployable",0,1
"100",4,4,4,3,3,4,3,"Employable",1,0
"101",4,4,5,4,4,4,4,"LessEmployable",0,1
"102",5,4,4,4,4,3,3,"LessEmployable",0,1
"103",4,4,4,4,3,4,3,"LessEmployable",0,1
"104",4,4,4,4,4,4,4,"LessEmployable",0,1
"105",4,5,4,4,4,4,4,"LessEmployable",0,1
"106",5,5,4,5,5,5,5,"Employable",1,0
"107",4,4,4,4,4,4,4,"Employable",1,0
"108",5,4,4,4,4,4,3,"LessEmployable",0,1
"109",5,4,4,4,4,4,3,"LessEmployable",0,1
"110",5,5,4,4,5,4,5,"LessEmployable",0,1
"111",5,4,4,4,4,4,3,"Employable",1,0
"112",5,4,4,4,4,4,3,"Employable",1,0
"113",5,5,4,4,5,4,4,"Employable",1,0
"114",4,3,4,4,4,3,3,"Employable",1,0
"115",5,4,3,3,3,4,4,"LessEmployable",0,1
"116",5,5,5,5,5,5,5,"Employable",1,0
"117",5,4,5,5,5,5,4,"Employable",1,0
"118",5,4,5,5,5,5,4,"Employable",1,0
"119",5,3,5,4,4,3,3,"Employable",1,0
"120",5,4,5,5,5,4,4,"Employable",1,0
"121",5,3,5,4,4,4,3,"LessEmployable",0,1
"122",5,5,5,5,5,4,3,"Employable",1,0
"123",5,5,5,5,5,5,3,"Employable",1,0
"124",5,4,4,4,4,4,4,"LessEmployable",0,1
"125",4,3,4,4,4,3,3,"LessEmployable",0,1
"126",4,4,4,4,4,4,3,"LessEmployable",0,1
"127",4,4,5,4,4,4,3,"LessEmployable",0,1
"128",5,3,5,4,5,5,3,"Employable",1,0
"129",5,3,3,3,3,3,2,"Employable",1,0
"130",4,3,4,3,4,3,4,"Employable",1,0
"131",4,3,4,4,4,3,3,"Employable",1,0
"132",4,3,3,2,3,2,3,"Employable",1,0
"133",5,5,5,5,5,5,4,"LessEmployable",0,1
"134",4,3,4,3,4,3,4,"LessEmployable",0,1
"135",3,3,4,4,4,3,3,"LessEmployable",0,1
"136",4,3,4,4,4,3,3,"Employable",1,0
"137",4,4,4,4,4,3,3,"Employable",1,0
"138",4,4,5,5,4,5,5,"LessEmployable",0,1
"139",4,5,5,5,5,4,5,"Employable",1,0
"140",4,5,5,5,5,4,5,"Employable",1,0
"141",4,4,3,4,4,4,4,"LessEmployable",0,1
"142",4,3,4,4,4,3,3,"LessEmployable",0,1
"143",4,3,4,4,3,4,4,"LessEmployable",0,1
"144",3,3,4,4,4,4,4,"LessEmployable",0,1
"145",5,4,4,4,5,4,5,"LessEmployable",0,1
"146",3,3,3,3,4,3,3,"Employable",1,0
"147",3,3,4,3,4,3,3,"Employable",1,0
"148",3,4,3,4,3,4,3,"Employable",1,0
"149",4,4,4,3,4,4,3,"LessEmployable",0,1
"150",5,4,4,3,3,4,4,"LessEmployable",0,1
"151",4,3,2,4,3,4,3,"LessEmployable",0,1
"152",5,5,5,4,5,4,5,"LessEmployable",0,1
"153",4,2,4,4,3,3,3,"LessEmployable",0,1
"154",5,5,5,5,5,5,5,"LessEmployable",0,1
"155",4,3,3,4,3,3,3,"Employable",1,0
"156",5,4,3,3,3,3,2,"LessEmployable",0,1
"157",5,5,5,5,5,4,5,"Employable",1,0
"158",4,5,5,5,5,5,5,"LessEmployable",0,1
"159",4,5,5,3,3,5,3,"LessEmployable",0,1
"160",4,5,3,5,5,5,3,"Employable",1,0
"161",3,5,5,3,5,5,3,"Employable",1,0
"162",3,3,3,3,3,3,3,"Employable",1,0
"163",4,3,4,4,4,3,3,"Employable",1,0
"164",4,3,4,2,2,2,2,"LessEmployable",0,1
"165",3,2,3,3,3,3,3,"LessEmployable",0,1
"166",5,5,4,5,4,5,4,"LessEmployable",0,1
"167",3,4,3,4,3,4,3,"Employable",1,0
"168",4,3,3,3,3,3,3,"Employable",1,0
"169",5,4,4,4,4,4,4,"Employable",1,0
"170",4,4,4,4,4,4,4,"Employable",1,0
"171",4,4,4,4,3,3,3,"LessEmployable",0,1
"172",5,4,5,5,5,5,4,"LessEmployable",0,1
"173",3,4,3,3,3,3,3,"LessEmployable",0,1
"174",4,3,3,3,3,3,3,"Employable",1,0
"175",4,5,4,4,4,4,4,"LessEmployable",0,1
"176",5,4,4,4,4,4,4,"Employable",1,0
"177",5,5,4,5,4,4,5,"Employable",1,0
"178",4,4,4,4,5,5,5,"Employable",1,0
"179",4,3,3,4,3,3,3,"LessEmployable",0,1
"180",4,5,5,5,4,4,4,"Employable",1,0
"181",4,4,4,3,3,4,3,"Employable",1,0
"182",4,4,4,3,3,4,3,"Employable",1,0
"183",4,5,4,5,5,5,5,"Employable",1,0
"184",4,4,4,4,4,4,3,"Employable",1,0
"185",4,3,3,3,3,3,2,"LessEmployable",0,1
"186",3,3,3,2,3,3,3,"LessEmployable",0,1
"187",4,4,3,3,4,4,3,"Employable",1,0
"188",4,4,3,3,3,3,3,"Employable",1,0
"189",4,4,4,3,3,3,3,"Employable",1,0
"190",5,3,3,4,3,3,3,"Employable",1,0
"191",4,4,4,4,4,4,4,"Employable",1,0
"192",4,4,3,4,3,4,4,"Employable",1,0
"193",5,5,5,5,5,5,4,"LessEmployable",0,1
"194",3,4,4,4,3,4,4,"Employable",1,0
"195",4,3,3,2,3,3,2,"LessEmployable",0,1
"196",3,3,3,3,3,2,2,"LessEmployable",0,1
"197",4,4,3,4,4,4,3,"LessEmployable",0,1
"198",3,3,3,3,3,3,3,"LessEmployable",0,1
"199",5,3,3,3,3,3,3,"LessEmployable",0,1
"200",4,4,4,4,4,4,4,"LessEmployable",0,1
"201",4,4,4,5,5,4,4,"LessEmployable",0,1
"202",4,3,3,4,5,4,3,"LessEmployable",0,1
"203",5,4,5,4,4,4,4,"Employable",1,0
"204",5,4,4,4,4,4,4,"Employable",1,0
"205",5,4,5,5,5,5,4,"Employable",1,0
"206",4,3,3,3,5,3,3,"LessEmployable",0,1
"207",5,5,5,5,5,4,4,"Employable",1,0
"208",5,5,4,4,5,5,4,"Employable",1,0
"209",4,4,4,4,3,3,3,"LessEmployable",0,1
"210",5,5,5,5,5,4,4,"Employable",1,0
"211",5,4,4,4,4,5,4,"Employable",1,0
"212",5,5,5,5,5,5,4,"Employable",1,0
"213",4,3,4,4,3,4,3,"LessEmployable",0,1
"214",4,3,4,4,3,3,3,"LessEmployable",0,1
"215",5,5,4,5,5,4,4,"LessEmployable",0,1
"216",4,4,4,5,5,4,3,"LessEmployable",0,1
"217",5,4,5,5,5,5,5,"Employable",1,0
"218",5,3,3,4,5,3,3,"Employable",1,0
"219",5,5,5,5,4,5,4,"Employable",1,0
"220",5,5,4,5,4,5,5,"Employable",1,0
"221",4,4,3,3,3,4,4,"LessEmployable",0,1
"222",5,5,5,5,5,4,4,"Employable",1,0
"223",5,5,5,5,5,4,4,"Employable",1,0
"224",5,4,5,5,5,4,4,"Employable",1,0
"225",5,4,5,5,5,4,4,"Employable",1,0
"226",4,3,4,3,4,3,3,"LessEmployable",0,1
"227",5,4,5,5,4,4,4,"LessEmployable",0,1
"228",5,3,4,4,3,4,3,"LessEmployable",0,1
"229",5,3,3,3,4,3,3,"LessEmployable",0,1
"230",5,4,5,5,5,4,4,"Employable",1,0
"231",5,5,5,5,5,4,4,"Employable",1,0
"232",5,4,5,5,5,4,4,"Employable",1,0
"233",5,5,5,5,5,5,4,"Employable",1,0
"234",5,4,5,5,5,4,4,"Employable",1,0
"235",5,5,5,5,5,5,4,"Employable",1,0
"236",5,4,5,5,4,4,4,"Employable",1,0
"237",5,3,4,4,4,4,3,"LessEmployable",0,1
"238",4,4,4,4,3,4,4,"LessEmployable",0,1
"239",5,4,5,5,5,4,4,"Employable",1,0
"240",4,5,4,4,4,5,4,"Employable",1,0
"241",4,3,3,3,3,3,3,"Employable",1,0
"242",4,4,4,4,5,4,4,"LessEmployable",0,1
"243",3,3,3,4,3,3,3,"Employable",1,0
"244",4,4,4,3,3,3,3,"Employable",1,0
"245",4,4,4,3,4,3,3,"LessEmployable",0,1
"246",4,4,4,4,4,4,4,"Employable",1,0
"247",3,3,3,4,3,3,3,"Employable",1,0
"248",5,5,3,5,3,5,5,"Employable",1,0
"249",4,4,4,4,4,4,4,"Employable",1,0
"250",4,5,5,5,5,5,5,"Employable",1,0
"251",4,4,4,4,4,4,4,"Employable",1,0
"252",4,3,3,3,3,3,3,"Employable",1,0
"253",3,4,3,4,3,4,3,"Employable",1,0
"254",4,4,4,4,4,4,4,"LessEmployable",0,1
"255",4,3,3,3,4,3,4,"LessEmployable",0,1
"256",4,4,4,4,3,4,3,"Employable",1,0
"257",3,4,4,4,3,4,3,"Employable",1,0
"258",5,4,4,4,4,4,4,"Employable",1,0
"259",4,4,4,3,3,4,4,"Employable",1,0
"260",3,4,4,3,4,4,3,"LessEmployable",0,1
"261",4,3,2,3,2,2,3,"Employable",1,0
"262",4,3,4,3,4,3,3,"Employable",1,0
"263",4,4,3,4,3,4,3,"LessEmployable",0,1
"264",4,4,4,4,3,3,3,"Employable",1,0
"265",5,3,3,4,3,3,3,"LessEmployable",0,1
"266",4,3,3,3,3,3,2,"Employable",1,0
"267",3,4,4,4,4,4,4,"Employable",1,0
"268",4,5,4,5,4,4,4,"Employable",1,0
"269",4,4,4,3,4,4,3,"LessEmployable",0,1
"270",4,4,4,4,3,4,4,"Employable",1,0
"271",5,5,5,5,5,5,4,"Employable",1,0
"272",3,3,3,3,3,2,2,"Employable",1,0
"273",4,4,4,4,4,4,3,"LessEmployable",0,1
"274",4,4,4,4,4,4,4,"LessEmployable",0,1
"275",4,3,3,3,3,3,2,"Employable",1,0
"276",5,4,4,4,4,4,4,"Employable",1,0
"277",3,3,3,3,3,3,3,"LessEmployable",0,1
"278",4,3,4,3,3,3,3,"Employable",1,0
"279",4,3,4,3,3,3,2,"Employable",1,0
"280",2,2,3,3,3,3,3,"LessEmployable",0,1
"281",4,4,3,4,3,4,3,"LessEmployable",0,1
"282",4,4,4,3,3,4,3,"Employable",1,0
"283",4,4,5,4,4,4,4,"LessEmployable",0,1
"284",5,4,4,4,4,3,3,"LessEmployable",0,1
"285",4,4,4,4,3,4,3,"LessEmployable",0,1
"286",4,4,4,4,4,4,4,"LessEmployable",0,1
"287",4,5,4,4,4,4,4,"LessEmployable",0,1
"288",5,5,4,5,5,5,5,"Employable",1,0
"289",4,4,4,4,4,4,4,"Employable",1,0
"290",5,4,4,4,4,4,3,"LessEmployable",0,1
"291",5,4,4,4,4,4,3,"LessEmployable",0,1
"292",5,5,4,4,5,4,5,"LessEmployable",0,1
"293",5,4,4,4,4,4,3,"Employable",1,0
"294",5,4,4,4,4,4,3,"Employable",1,0
"295",5,5,4,4,5,4,4,"Employable",1,0
"296",4,3,4,4,4,3,3,"Employable",1,0
"297",5,4,3,3,3,4,4,"LessEmployable",0,1
"298",5,5,5,5,5,5,5,"Employable",1,0
"299",5,4,5,5,5,5,4,"Employable",1,0
"300",5,4,5,5,5,5,4,"Employable",1,0
"301",5,3,5,4,4,3,3,"Employable",1,0
"302",5,4,5,5,5,4,4,"Employable",1,0
"303",5,3,5,4,4,4,3,"LessEmployable",0,1
"304",5,5,5,5,5,4,3,"Employable",1,0
"305",5,5,5,5,5,5,3,"Employable",1,0
"306",5,4,4,4,4,4,4,"LessEmployable",0,1
"307",4,3,4,4,4,3,3,"LessEmployable",0,1
"308",4,4,4,4,4,4,3,"LessEmployable",0,1
"309",4,4,5,4,4,4,3,"LessEmployable",0,1
"310",5,3,5,4,5,5,3,"Employable",1,0
"311",5,3,3,3,3,3,2,"Employable",1,0
"312",4,3,4,3,4,3,4,"Employable",1,0
"313",4,3,4,4,4,3,3,"Employable",1,0
"314",4,3,3,2,3,2,3,"Employable",1,0
"315",5,5,5,5,5,5,4,"LessEmployable",0,1
"316",4,3,4,3,4,3,4,"LessEmployable",0,1
"317",3,3,4,4,4,3,3,"LessEmployable",0,1
"318",4,3,4,4,4,3,3,"Employable",1,0
"319",4,4,4,4,4,3,3,"Employable",1,0
"320",4,4,5,5,4,5,5,"LessEmployable",0,1
"321",4,5,5,5,5,4,5,"Employable",1,0
"322",4,5,5,5,5,4,5,"Employable",1,0
"323",4,4,3,4,4,4,4,"LessEmployable",0,1
"324",4,3,4,4,4,3,3,"LessEmployable",0,1
"325",4,3,4,4,3,4,4,"LessEmployable",0,1
"326",3,3,4,4,4,4,4,"LessEmployable",0,1
"327",5,4,4,4,5,4,5,"LessEmployable",0,1
"328",3,3,3,3,4,3,3,"Employable",1,0
"329",3,3,4,3,4,3,3,"Employable",1,0
"330",3,4,3,4,3,4,3,"Employable",1,0
"331",4,4,4,3,4,4,3,"LessEmployable",0,1
"332",5,4,4,3,3,4,4,"LessEmployable",0,1
"333",4,3,2,4,3,4,3,"LessEmployable",0,1
"334",5,5,5,4,5,4,5,"LessEmployable",0,1
"335",4,2,4,4,3,3,3,"LessEmployable",0,1
"336",5,5,5,5,5,5,5,"LessEmployable",0,1
"337",4,3,3,4,3,3,3,"Employable",1,0
"338",5,4,3,3,3,3,2,"LessEmployable",0,1
"339",5,5,5,5,5,4,5,"Employable",1,0
"340",4,5,5,5,5,5,5,"LessEmployable",0,1
"341",4,5,5,3,3,5,3,"LessEmployable",0,1
"342",4,5,3,5,5,5,3,"Employable",1,0
"343",3,5,5,3,5,5,3,"Employable",1,0
"344",3,3,3,3,3,3,3,"Employable",1,0
"345",4,3,4,4,4,3,3,"Employable",1,0
"346",4,3,4,2,2,2,2,"LessEmployable",0,1
"347",3,2,3,3,3,3,3,"LessEmployable",0,1
"348",5,5,4,5,4,5,4,"LessEmployable",0,1
"349",3,4,3,4,3,4,3,"Employable",1,0
"350",4,3,3,3,3,3,3,"Employable",1,0
"351",5,4,4,4,4,4,4,"Employable",1,0
"352",4,4,4,4,4,4,4,"Employable",1,0
"353",4,4,4,4,3,3,3,"LessEmployable",0,1
"354",5,4,5,5,5,5,4,"LessEmployable",0,1
"355",3,4,3,3,3,3,3,"LessEmployable",0,1
"356",4,3,3,3,3,3,3,"Employable",1,0
"357",4,5,4,4,4,4,4,"LessEmployable",0,1
"358",5,4,4,4,4,4,4,"Employable",1,0
"359",5,5,4,5,4,4,5,"Employable",1,0
"360",4,4,4,4,5,5,5,"Employable",1,0
"361",4,3,3,4,3,3,3,"LessEmployable",0,1
"362",4,5,5,5,4,4,4,"Employable",1,0
"363",4,4,4,3,3,4,3,"Employable",1,0
"364",4,4,4,3,3,4,3,"Employable",1,0
"365",4,5,4,5,5,5,5,"Employable",1,0
"366",4,4,4,4,4,4,3,"Employable",1,0
"367",4,3,3,3,3,3,2,"LessEmployable",0,1
"368",3,3,3,2,3,3,3,"LessEmployable",0,1
"369",4,4,3,3,4,4,3,"Employable",1,0
"370",4,4,3,3,3,3,3,"Employable",1,0
"371",4,4,4,3,3,3,3,"Employable",1,0
"372",5,3,3,4,3,3,3,"Employable",1,0
"373",4,4,4,4,4,4,4,"Employable",1,0
"374",4,4,3,4,3,4,4,"Employable",1,0
"375",5,5,5,5,5,5,4,"LessEmployable",0,1
"376",3,4,4,4,3,4,4,"Employable",1,0
"377",4,3,3,2,3,3,2,"LessEmployable",0,1
"378",3,3,3,3,3,2,2,"LessEmployable",0,1
"379",4,4,3,4,4,4,3,"LessEmployable",0,1
"380",3,3,3,3,3,3,3,"LessEmployable",0,1
"381",5,3,3,3,3,3,3,"LessEmployable",0,1
"382",4,4,4,4,4,4,4,"LessEmployable",0,1
"383",4,4,4,5,5,4,4,"LessEmployable",0,1
"384",4,3,3,4,5,4,3,"LessEmployable",0,1
"385",5,4,5,4,4,4,4,"Employable",1,0
"386",5,4,4,4,4,4,4,"Employable",1,0
"387",5,4,5,5,5,5,4,"Employable",1,0
"388",4,3,3,3,5,3,3,"LessEmployable",0,1
"389",5,5,5,5,5,4,4,"Employable",1,0
"390",5,5,4,4,5,5,4,"Employable",1,0
"391",4,4,4,4,3,3,3,"LessEmployable",0,1
"392",5,5,5,5,5,4,4,"Employable",1,0
"393",5,4,4,4,4,5,4,"Employable",1,0
"394",5,5,5,5,5,5,4,"Employable",1,0
"395",4,3,4,4,3,4,3,"LessEmployable",0,1
"396",4,3,4,4,3,3,3,"LessEmployable",0,1
"397",5,5,4,5,5,4,4,"LessEmployable",0,1
"398",4,4,4,5,5,4,3,"LessEmployable",0,1
"399",5,4,5,5,5,5,5,"Employable",1,0
"400",5,3,3,4,5,3,3,"Employable",1,0
"401",5,5,5,5,4,5,4,"Employable",1,0
"402",5,5,4,5,4,5,5,"Employable",1,0
"403",4,4,3,3,3,4,4,"LessEmployable",0,1
"404",5,5,5,5,5,4,4,"Employable",1,0
"405",5,5,5,5,5,4,4,"Employable",1,0
"406",5,4,5,5,5,4,4,"Employable",1,0
"407",5,4,5,5,5,4,4,"Employable",1,0
"408",4,3,4,3,4,3,3,"LessEmployable",0,1
"409",5,4,5,5,4,4,4,"LessEmployable",0,1
"410",5,3,4,4,3,4,3,"LessEmployable",0,1
"411",5,3,3,3,4,3,3,"LessEmployable",0,1
"412",5,4,5,5,5,4,4,"Employable",1,0
"413",5,5,5,5,5,4,4,"Employable",1,0
"414",5,4,5,5,5,4,4,"Employable",1,0
"415",5,5,5,5,5,5,4,"Employable",1,0
"416",5,4,5,5,5,4,4,"Employable",1,0
"417",5,5,5,5,5,5,4,"Employable",1,0
"418",5,4,5,5,4,4,4,"Employable",1,0
"419",5,3,4,4,4,4,3,"LessEmployable",0,1
"420",4,4,4,4,3,4,4,"LessEmployable",0,1
"421",5,4,5,5,5,4,4,"Employable",1,0
"422",4,5,4,4,4,5,4,"Employable",1,0
"423",4,3,3,3,3,3,3,"Employable",1,0
"424",4,4,4,4,5,4,4,"LessEmployable",0,1
"425",3,3,3,4,3,3,3,"Employable",1,0
"426",4,4,4,3,3,3,3,"Employable",1,0
"427",4,4,4,3,4,3,3,"LessEmployable",0,1
"428",4,4,4,4,4,4,4,"Employable",1,0
"429",3,3,3,4,3,3,3,"Employable",1,0
"430",5,5,3,5,3,5,5,"Employable",1,0
"431",4,4,4,4,4,4,4,"Employable",1,0
"432",4,5,5,5,5,5,5,"Employable",1,0
"433",4,4,4,4,4,4,4,"Employable",1,0
"434",4,3,3,3,3,3,3,"Employable",1,0
"435",3,4,3,4,3,4,3,"Employable",1,0
"436",4,4,4,4,4,4,4,"LessEmployable",0,1
"437",4,3,3,3,4,3,4,"LessEmployable",0,1
"438",4,4,4,4,3,4,3,"Employable",1,0
"439",3,4,4,4,3,4,3,"Employable",1,0
"440",5,4,4,4,4,4,4,"Employable",1,0
"441",4,4,4,3,3,4,4,"Employable",1,0
"442",3,4,4,3,4,4,3,"LessEmployable",0,1
"443",4,3,2,3,2,2,3,"Employable",1,0
"444",4,3,4,3,4,3,3,"Employable",1,0
"445",4,4,3,4,3,4,3,"LessEmployable",0,1
"446",4,4,4,4,3,3,3,"Employable",1,0
"447",5,3,3,4,3,3,3,"LessEmployable",0,1
"448",4,3,3,3,3,3,2,"Employable",1,0
"449",3,4,4,4,4,4,4,"Employable",1,0
"450",4,5,4,5,4,4,4,"Employable",1,0
"451",4,4,4,3,4,4,3,"LessEmployable",0,1
"452",4,4,4,4,3,4,4,"Employable",1,0
"453",5,5,5,5,5,5,4,"Employable",1,0
"454",3,3,3,3,3,2,2,"Employable",1,0
"455",4,4,4,4,4,4,3,"LessEmployable",0,1
"456",4,4,4,4,4,4,4,"LessEmployable",0,1
"457",4,3,3,3,3,3,2,"Employable",1,0
"458",5,4,4,4,4,4,4,"Employable",1,0
"459",3,3,3,3,3,3,3,"LessEmployable",0,1
"460",4,3,4,3,3,3,3,"Employable",1,0
"461",4,3,4,3,3,3,2,"Employable",1,0
"462",2,2,3,3,3,3,3,"LessEmployable",0,1
"463",4,4,3,4,3,4,3,"LessEmployable",0,1
"464",4,4,4,3,3,4,3,"Employable",1,0
"465",4,4,5,4,4,4,4,"LessEmployable",0,1
"466",5,4,4,4,4,3,3,"LessEmployable",0,1
"467",4,4,4,4,3,4,3,"LessEmployable",0,1
"468",4,4,4,4,4,4,4,"LessEmployable",0,1
"469",4,5,4,4,4,4,4,"LessEmployable",0,1
"470",5,5,4,5,5,5,5,"Employable",1,0
"471",4,4,4,4,4,4,4,"Employable",1,0
"472",5,4,4,4,4,4,3,"LessEmployable",0,1
"473",5,4,4,4,4,4,3,"LessEmployable",0,1
"474",5,5,4,4,5,4,5,"LessEmployable",0,1
"475",5,4,4,4,4,4,3,"Employable",1,0
"476",5,4,4,4,4,4,3,"Employable",1,0
"477",5,5,4,4,5,4,4,"Employable",1,0
"478",4,3,4,4,4,3,3,"Employable",1,0
"479",5,4,3,3,3,4,4,"LessEmployable",0,1
"480",5,5,5,5,5,5,5,"Employable",1,0
"481",5,4,5,5,5,5,4,"Employable",1,0
"482",5,4,5,5,5,5,4,"Employable",1,0
"483",5,3,5,4,4,3,3,"Employable",1,0
"484",5,4,5,5,5,4,4,"Employable",1,0
"485",5,3,5,4,4,4,3,"LessEmployable",0,1
"486",5,5,5,5,5,4,3,"Employable",1,0
"487",5,5,5,5,5,5,3,"Employable",1,0
"488",5,4,4,4,4,4,4,"LessEmployable",0,1
"489",4,3,4,4,4,3,3,"LessEmployable",0,1
"490",4,4,4,4,4,4,3,"LessEmployable",0,1
"491",4,4,5,4,4,4,3,"LessEmployable",0,1
"492",5,3,5,4,5,5,3,"Employable",1,0
"493",5,3,3,3,3,3,2,"Employable",1,0
"494",4,3,4,3,4,3,4,"Employable",1,0
"495",4,3,4,4,4,3,3,"Employable",1,0
"496",4,3,3,2,3,2,3,"Employable",1,0
"497",5,5,5,5,5,5,4,"LessEmployable",0,1
"498",4,3,4,3,4,3,4,"LessEmployable",0,1
"499",3,3,4,4,4,3,3,"LessEmployable",0,1
"500",4,3,4,4,4,3,3,"Employable",1,0
"501",4,4,4,4,4,3,3,"Employable",1,0
